,front_house_area,house_area,street,quality,year_built,year_remodel_add,garage_year_build,basement_quality,basement_area,central_air_conditioning,heating,grade_living_area,wood_deck_area
675,24.0,2289,Pave,6,1978,1978,1978.0,TA,855.0,Y,GasA,1441,28
677,52.0,9022,Pave,5,1924,2006,1924.0,TA,768.0,Y,GasA,792,316
678,80.0,11844,Pave,8,2008,2008,2008.0,Ex,2046.0,Y,GasA,2046,322
679,69.30579531442663,9945,Pave,5,1961,1961,1963.0,TA,988.0,Y,GasA,988,0
680,50.0,8012,Pave,6,1980,1980,1980.0,Gd,923.0,Y,GasA,923,80
681,55.0,4500,Pave,5,1932,2000,1968.0,TA,793.0,Y,GasA,1520,0
682,69.30579531442663,2887,Pave,6,1996,1997,1996.0,Gd,1291.0,Y,GasA,1291,307
683,90.0,11248,Pave,9,2002,2002,2002.0,Gd,1626.0,Y,GasA,1668,257
684,58.0,16770,Pave,7,1998,1998,1998.0,Gd,1195.0,Y,GasA,1839,0
685,69.30579531442663,5062,Pave,7,1984,1984,1984.0,Gd,1190.0,Y,GasA,2090,219
686,84.0,10207,Pave,7,2007,2007,2007.0,Gd,874.0,Y,GasA,1761,144
687,69.30579531442663,5105,Pave,7,2004,2004,2004.0,Gd,551.0,Y,GasA,1102,0
688,60.0,8089,Pave,8,2007,2007,2007.0,Gd,1419.0,Y,GasA,1419,140
689,61.0,7577,Pave,6,2005,2006,2005.0,Gd,1362.0,Y,GasA,1362,192
690,69.30579531442663,4426,Pave,6,2004,2004,2004.0,Gd,848.0,Y,GasA,848,149
692,42.0,26178,Pave,7,1989,1990,1989.0,Gd,1210.0,Y,GasA,2519,320
693,60.0,5400,Pave,5,1921,1968,1968.0,TA,1073.0,Y,GasA,1073,0
694,51.0,6120,Pave,5,1936,1950,1995.0,TA,927.0,Y,GasA,1539,112
695,54.0,13811,Pave,6,1987,1987,1987.0,Gd,1112.0,Y,GasA,1137,125
696,50.0,6000,Pave,5,1921,1950,1921.0,TA,616.0,Y,GasA,616,0
697,57.0,6420,Pave,5,1952,1952,1952.0,Ex,980.0,Y,GasA,1148,0
698,65.0,8450,Pave,5,1965,2009,1973.0,TA,894.0,Y,GasA,894,416
699,59.0,4282,Pave,7,2004,2004,2004.0,Gd,1391.0,Y,GasA,1391,156
700,85.0,14331,Pave,8,2002,2002,2002.0,Ex,1800.0,Y,GasA,1800,270
701,80.0,9600,Pave,7,1969,1969,1969.0,TA,1164.0,Y,GasA,1164,0
702,82.0,12438,Pave,8,2006,2006,2006.0,Ex,1234.0,Y,GasA,2576,324
704,70.0,8400,Pave,7,2004,2005,2004.0,Gd,1473.0,Y,GasA,1484,0
706,69.30579531442663,115149,Pave,7,1971,2002,1971.0,Gd,1643.0,Y,GasA,1824,380
707,48.0,6240,Pave,8,2006,2006,2006.0,Gd,1324.0,Y,GasA,1324,192
708,65.0,9018,Pave,7,2007,2007,2007.0,Gd,728.0,Y,GasA,1456,100
709,69.30579531442663,7162,Pave,5,1966,1966,1966.0,TA,876.0,Y,GasA,904,0
712,40.0,4671,Pave,8,1988,1989,1988.0,Gd,1228.0,Y,GasA,1228,168
713,60.0,9873,Pave,4,1970,1970,1970.0,TA,960.0,N,GasW,960,0
714,69.30579531442663,13517,Pave,6,1976,2005,1976.0,TA,725.0,Y,GasA,1479,0
715,78.0,10140,Pave,6,1974,1974,1974.0,Gd,1064.0,Y,GasA,1350,0
717,80.0,10000,Pave,5,1973,2000,1973.0,Gd,1176.0,Y,GasA,1178,224
718,96.0,10542,Pave,7,1993,1994,1993.0,Gd,1311.0,Y,GasA,2418,250
719,69.0,9920,Pave,5,1969,1969,1969.0,Gd,971.0,Y,GasA,971,0
720,69.30579531442663,6563,Pave,8,1985,1985,1985.0,Gd,1742.0,Y,GasA,1742,114
721,69.30579531442663,4426,Pave,6,2004,2004,2004.0,Gd,848.0,Y,GasA,848,160
722,70.0,8120,Pave,4,1970,1970,1994.0,TA,864.0,Y,GasA,864,0
723,60.0,8172,Pave,4,1954,1972,1958.0,TA,941.0,Y,GasA,1470,0
724,86.0,13286,Pave,9,2007,2008,2007.0,Ex,1698.0,Y,GasA,1698,327
725,60.0,6960,Pave,4,1970,1970,1989.0,TA,864.0,Y,GasA,864,96
726,69.30579531442663,21695,Pave,6,1988,2007,1988.0,Gd,880.0,Y,GasA,1680,292
727,64.0,7314,Pave,7,2007,2007,2007.0,Gd,1232.0,Y,GasA,1232,132
728,85.0,11475,Pave,5,1958,1958,1968.0,TA,1584.0,Y,GasA,1776,0
729,52.0,6240,Pave,4,1925,1950,1962.0,TA,780.0,Y,GasA,1208,0
730,39.0,5389,Pave,8,1995,1996,1995.0,Gd,1595.0,Y,GasA,1616,237
731,73.0,9590,Pave,7,2003,2003,2003.0,Ex,868.0,Y,GasA,1146,160
732,75.0,11404,Pave,7,1998,1999,1998.0,Gd,1153.0,Y,GasA,2031,192
733,80.0,10000,Pave,5,1961,1983,1961.0,TA,864.0,Y,GasA,1144,165
734,69.30579531442663,8978,Pave,5,1968,1968,1968.0,TA,948.0,Y,GasA,948,147
735,60.0,10800,Pave,7,1914,1970,1914.0,Gd,880.0,N,GasW,1768,0
737,72.0,10463,Pave,8,2005,2005,2005.0,Gd,893.0,Y,GasA,1801,0
738,60.0,10800,Pave,5,1987,1988,1978.1134057971014,Gd,1200.0,Y,GasA,1200,120
739,65.0,9313,Pave,7,2004,2004,2004.0,Gd,864.0,Y,GasA,1728,187
740,60.0,9600,Pave,5,1910,2002,1910.0,Fa,264.0,Y,GasA,1432,270
741,65.0,6768,Pave,6,1961,1996,1962.0,TA,912.0,Y,GasA,912,168
742,65.0,8450,Pave,7,2000,2001,2000.0,Gd,1349.0,Y,GasA,1349,120
743,70.0,12886,Pave,5,1963,1999,1997.0,Gd,520.0,Y,GasA,1464,302
744,41.0,5395,Pave,8,1993,1993,1993.0,Gd,1337.0,Y,GasA,1337,96
746,69.30579531442663,8795,Pave,7,2000,2000,2000.0,Gd,952.0,Y,GasA,2256,224
748,59.0,10593,Pave,7,1996,1996,1996.0,Gd,1720.0,Y,GasA,1720,240
750,55.0,8800,Pave,4,1910,2004,1978.1134057971014,TA,576.0,Y,GasA,1140,0
751,69.30579531442663,7750,Pave,7,2003,2003,2003.0,Gd,660.0,Y,GasA,1320,0
752,79.0,9236,Pave,6,1997,1997,1997.0,Gd,1479.0,Y,GasA,1494,168
753,80.0,10240,Pave,8,2005,2005,2005.0,Gd,1030.0,Y,GasA,2098,192
754,61.0,7930,Pave,6,1969,2005,1969.0,TA,1026.0,Y,GasA,1026,171
755,34.0,3230,Pave,6,1999,1999,1999.0,Gd,729.0,Y,GasA,1471,0
756,68.0,10769,Pave,8,2007,2007,2007.0,Gd,866.0,Y,GasA,1768,144
757,69.30579531442663,11616,Pave,6,1978,1978,1978.0,TA,672.0,Y,GasA,1386,335
758,24.0,2280,Pave,7,1999,1999,1999.0,Gd,744.0,Y,GasA,1501,0
759,65.0,12257,Pave,8,1995,1995,1995.0,Gd,1318.0,Y,GasA,2531,222
760,70.0,9100,Pave,6,1959,1959,2008.0,TA,864.0,Y,GasA,864,0
761,60.0,6911,Pave,5,1924,1950,1965.0,TA,1145.0,Y,GasA,1301,0
762,72.0,8640,Pave,7,2009,2009,2009.0,Gd,756.0,Y,GasA,1547,169
763,82.0,9430,Pave,8,1999,1999,1999.0,Gd,1252.0,Y,GasA,2365,0
764,30.0,9549,Pave,8,1995,1996,1995.0,Gd,1494.0,Y,GasA,1494,0
765,75.0,14587,Pave,9,2008,2008,2008.0,Gd,1498.0,Y,GasA,1506,0
766,80.0,10421,Pave,7,1988,1988,1988.0,Gd,980.0,Y,GasA,1714,228
767,75.0,12508,Pave,6,1940,1985,1989.0,Gd,983.0,Y,GasA,1750,245
768,70.0,9100,Pave,7,2004,2005,2004.0,Gd,1860.0,Y,GasA,1836,120
770,69.30579531442663,7252,Pave,5,1982,1982,1983.0,Gd,858.0,Y,GasA,858,120
771,67.0,8877,Pave,4,1951,1951,1951.0,Fa,836.0,Y,GasA,1220,0
772,94.0,7819,Pave,6,1976,1976,1976.0,TA,1029.0,Y,GasA,1117,144
773,70.0,10150,Pave,5,1958,1958,1958.0,TA,912.0,Y,GasA,912,0
774,110.0,14226,Pave,8,2006,2006,2006.0,Gd,1935.0,Y,GasA,1973,315
775,32.0,4500,Pave,6,1998,1998,1998.0,Ex,1204.0,Y,GasA,1204,0
776,86.0,11210,Pave,7,2005,2006,2005.0,Gd,1614.0,Y,GasA,1614,144
777,100.0,13350,Pave,5,1974,1974,1974.0,TA,864.0,Y,GasA,894,241
779,78.0,10530,Pave,6,1977,1977,1977.0,Gd,975.0,Y,GasA,1004,0
780,63.0,7875,Pave,7,1995,1996,1995.0,Gd,1237.0,Y,GasA,1253,220
781,65.0,7153,Pave,6,1992,1992,1992.0,Gd,761.0,Y,GasA,1603,0
782,67.0,16285,Pave,7,2001,2002,2001.0,Gd,1413.0,Y,GasA,1430,0
783,69.30579531442663,9101,Pave,5,1978,1978,1978.0,Gd,1097.0,Y,GasA,1110,303
784,35.0,6300,Pave,6,1914,2001,1978.1134057971014,TA,742.0,Y,GasA,1484,0
785,69.30579531442663,9790,Pave,6,1967,1967,1967.0,TA,1372.0,Y,GasA,1342,0
786,60.0,10800,Pave,5,1915,1950,1961.0,Fa,686.0,Y,GasA,1652,0
787,76.0,10142,Pave,7,2004,2004,2004.0,Gd,956.0,Y,GasA,2084,0
788,50.0,6000,Pave,4,1954,2000,1954.0,TA,901.0,Y,GasA,901,0
789,69.30579531442663,12205,Pave,6,1966,2007,1966.0,TA,832.0,Y,GasA,2087,133
790,43.0,3182,Pave,7,2005,2006,2005.0,Gd,1145.0,Y,GasA,1145,100
791,69.30579531442663,11333,Pave,6,1976,1976,1976.0,Gd,1029.0,Y,GasA,1062,120
792,92.0,9920,Pave,7,1996,1997,1997.0,Gd,1117.0,Y,GasA,2013,180
793,76.0,9158,Pave,8,2007,2007,2007.0,Gd,1496.0,Y,GasA,1496,168
794,69.30579531442663,10832,Pave,7,1994,1996,1994.0,Gd,712.0,Y,GasA,1895,143
795,70.0,8400,Pave,6,1980,1981,1980.0,Gd,650.0,Y,GasA,1564,0
796,71.0,8197,Pave,6,1977,1977,1977.0,TA,660.0,Y,GasA,1285,138
797,57.0,7677,Pave,5,1953,1953,1953.0,TA,773.0,Y,GasA,773,0
799,60.0,7200,Pave,5,1937,1950,1939.0,Gd,731.0,Y,GasA,1768,0
800,79.0,12798,Pave,6,1997,1997,1997.0,Gd,616.0,Y,GasA,1688,403
801,40.0,4800,Pave,4,1916,1990,1957.0,TA,1196.0,Y,GasA,1196,0
802,63.0,8199,Pave,7,2005,2005,2005.0,Gd,728.0,Y,GasA,1456,36
804,75.0,9000,Pave,5,1954,1954,1954.0,TA,936.0,Y,GasA,1128,0
805,91.0,12274,Pave,7,2008,2008,2008.0,Gd,1417.0,Y,GasA,1428,0
806,75.0,9750,Pave,5,1967,1967,1967.0,TA,980.0,Y,GasA,980,68
808,85.0,13400,Pave,5,1966,1966,1966.0,TA,1024.0,Y,GasA,1086,0
810,78.0,10140,Pave,6,1974,1999,1974.0,TA,1040.0,Y,GasA,1309,265
811,69.30579531442663,4438,Pave,6,2004,2004,2004.0,Gd,848.0,Y,GasA,848,140
813,75.0,9750,Pave,6,1958,1958,1958.0,TA,1442.0,Y,GasA,1442,0
814,45.0,8248,Pave,5,1918,1950,1955.0,TA,686.0,Y,GasW,1250,207
815,48.0,12137,Pave,7,1998,1998,1998.0,Gd,1649.0,Y,GasA,1661,0
816,69.30579531442663,11425,Pave,5,1954,1954,1954.0,TA,1008.0,Y,GasA,1008,0
817,69.30579531442663,13265,Pave,8,2002,2002,2002.0,Gd,1568.0,Y,GasA,1689,150
818,80.0,8816,Pave,6,1971,1971,1971.0,TA,1010.0,Y,GasA,1052,0
819,44.0,6371,Pave,7,2009,2010,2010.0,Gd,1358.0,Y,GasA,1358,192
820,72.0,7226,Pave,7,2003,2003,2003.0,Gd,798.0,Y,GasA,1640,0
821,60.0,6000,Pave,4,1953,1953,1974.0,Fa,936.0,N,GasA,936,0
822,69.30579531442663,12394,Pave,7,2003,2003,2003.0,Gd,847.0,Y,GasA,1733,100
823,60.0,9900,Pave,6,1940,1950,1940.0,TA,778.0,Y,GasA,1489,335
824,81.0,11216,Pave,8,2006,2006,2006.0,Gd,1489.0,Y,GasA,1489,0
825,114.0,14803,Pave,10,2007,2008,2007.0,Ex,2078.0,Y,GasA,2084,188
826,50.0,6130,Pave,5,1924,1950,1978.1134057971014,TA,784.0,Y,GasA,784,0
827,65.0,8529,Pave,7,2001,2001,2001.0,Gd,1454.0,Y,GasA,1434,290
828,69.30579531442663,28698,Pave,5,1967,1967,1967.0,TA,1013.0,Y,GasA,2126,486
829,24.0,2544,Pave,7,2005,2005,2005.0,Gd,600.0,Y,GasA,1223,0
830,80.0,11900,Pave,6,1957,1957,1957.0,TA,1392.0,Y,GasA,1392,0
831,30.0,3180,Pave,7,2005,2005,2005.0,Gd,600.0,Y,GasA,1200,0
832,44.0,9548,Pave,7,2003,2003,2003.0,Gd,941.0,Y,GasA,1829,192
833,100.0,10004,Pave,6,1964,1964,1964.0,TA,1516.0,Y,GasA,1516,0
834,75.0,7875,Pave,5,1961,1961,1961.0,TA,1144.0,Y,GasA,1144,0
835,60.0,9600,Pave,4,1950,1995,1996.0,Gd,1067.0,Y,GasA,1067,290
836,90.0,8100,Pave,5,1948,1973,1948.0,TA,1559.0,Y,GasA,1559,0
838,75.0,9525,Pave,5,1995,2006,1999.0,Gd,1099.0,Y,GasA,1099,278
839,70.0,11767,Pave,5,1946,1995,1946.0,TA,768.0,Y,GasA,1200,0
840,69.30579531442663,12155,Pave,6,1925,1950,1934.0,TA,672.0,N,GasA,1482,0
841,60.0,10440,Pave,5,1904,2002,1983.0,TA,650.0,Y,GasA,1539,70
842,82.0,9020,Pave,6,1966,1966,1966.0,TA,1127.0,Y,GasA,1165,0
843,80.0,8000,Pave,5,1961,1961,1978.1134057971014,TA,1800.0,N,GasA,1800,0
844,100.0,12665,Pave,5,1915,1950,1949.0,TA,876.0,Y,GasA,1416,418
845,69.30579531442663,16647,Pave,5,1975,1981,1975.0,Gd,1390.0,Y,GasA,1701,0
846,75.0,9317,Pave,7,1993,1993,1993.0,Gd,740.0,Y,GasA,1775,234
847,36.0,15523,Pave,5,1972,1972,1972.0,TA,864.0,Y,GasA,864,0
848,75.0,45600,Pave,6,1908,1997,1908.0,TA,907.0,Y,GasA,2358,486
849,80.0,9600,Pave,6,1976,1994,1976.0,TA,528.0,Y,GasA,1855,113
850,36.0,4435,Pave,6,2003,2003,2003.0,Gd,848.0,Y,GasA,848,140
851,69.30579531442663,3196,Pave,8,2003,2003,2003.0,Gd,1273.0,Y,GasA,1456,143
852,53.0,7128,Pave,7,1941,1950,1941.0,TA,918.0,Y,GasA,1646,0
853,69.30579531442663,12095,Pave,6,1964,1964,1964.0,TA,1127.0,Y,GasA,1445,180
854,102.0,17920,Pave,5,1955,1974,1955.0,TA,1763.0,Y,GasA,1779,0
855,69.30579531442663,6897,Pave,5,1962,2010,1962.0,TA,1040.0,Y,GasA,1040,0
856,69.30579531442663,10970,Pave,6,1978,1978,1981.0,Gd,940.0,Y,GasA,1026,0
857,65.0,8125,Pave,6,1994,1995,1994.0,Gd,702.0,Y,GasA,1481,0
858,80.0,10400,Pave,7,1976,1976,1976.0,Gd,1090.0,Y,GasA,1370,0
859,69.30579531442663,11029,Pave,6,1968,1984,1968.0,TA,1054.0,Y,GasA,2654,0
860,55.0,7642,Pave,7,1918,1998,1925.0,TA,912.0,Y,GasA,1426,0
861,75.0,11625,Pave,5,1965,1965,1965.0,TA,1039.0,Y,GasA,1039,0
862,81.0,9672,Pave,6,1984,1985,1986.0,Gd,1040.0,Y,GasA,1097,0
863,70.0,7931,Pave,5,1959,1959,1959.0,TA,1148.0,Y,GasA,1148,0
864,72.0,8640,Pave,7,2007,2008,2008.0,Ex,1372.0,Y,GasA,1372,0
865,69.30579531442663,8750,Pave,5,1970,1970,1973.0,TA,1002.0,Y,GasA,1002,0
866,67.0,10656,Pave,8,2006,2007,2007.0,Gd,1638.0,Y,GasA,1646,192
867,85.0,6970,Pave,4,1961,1961,1961.0,TA,1040.0,Y,GasA,1120,168
869,80.0,9938,Pave,7,1993,1994,1993.0,Gd,1050.0,Y,GasA,1949,156
870,60.0,6600,Pave,5,1962,1962,1962.0,TA,894.0,N,GasA,894,0
871,70.0,8750,Pave,6,1998,1998,1998.0,Gd,804.0,Y,GasA,1682,0
872,74.0,8892,Pave,5,1953,1996,1953.0,TA,105.0,Y,GasA,910,196
873,60.0,12144,Pave,5,1949,1950,1949.0,TA,832.0,Y,GasA,1268,0
875,75.0,9000,Pave,8,2007,2007,2007.0,Gd,1184.0,Y,GasA,2610,208
876,94.0,25286,Pave,4,1963,1963,1963.0,TA,1064.0,Y,GasA,1040,0
877,74.0,8834,Pave,9,2004,2005,2004.0,Ex,1462.0,Y,GasA,2224,184
878,88.0,11782,Pave,5,1961,1995,1987.0,TA,1109.0,Y,GasA,1155,192
879,69.30579531442663,7000,Pave,5,1978,2005,1978.0,TA,864.0,Y,GasA,864,0
880,60.0,7024,Pave,5,2005,2006,2005.0,Ex,1090.0,Y,GasA,1090,0
881,44.0,13758,Pave,7,1990,1991,1990.0,Gd,1156.0,Y,GasA,1717,168
882,69.30579531442663,9636,Pave,6,1992,1993,1993.0,Gd,808.0,Y,GasA,1593,342
883,60.0,6204,Pave,4,1912,1950,1997.0,TA,795.0,N,GasA,2230,0
884,65.0,7150,Pave,5,1967,1967,1967.0,TA,892.0,Y,GasA,892,0
885,50.0,5119,Pave,9,1999,2000,1999.0,Ex,1698.0,Y,GasA,1709,97
886,70.0,8393,Pave,5,1959,2005,2005.0,TA,1626.0,Y,GasA,1712,272
887,59.0,16466,Pave,5,1955,1955,1955.0,TA,816.0,Y,GasA,1393,121
889,128.0,12160,Pave,6,1953,1953,1953.0,TA,1505.0,Y,GasA,1505,0
890,60.0,8064,Pave,5,1949,2006,2003.0,TA,672.0,Y,GasA,924,0
891,70.0,11184,Pave,6,1978,1978,1978.0,TA,918.0,Y,GasA,1683,243
892,70.0,8414,Pave,6,1963,2003,1963.0,TA,1059.0,Y,GasA,1068,192
895,71.0,7056,Pave,6,1963,1963,1963.0,TA,780.0,Y,GasA,1796,0
896,50.0,8765,Pave,4,1936,1950,1936.0,TA,951.0,N,GasA,951,0
899,65.0,6993,Pave,5,1961,1994,1961.0,TA,912.0,Y,GasA,1236,0
900,69.30579531442663,7340,Pave,4,1971,1971,1979.0,TA,858.0,Y,GasA,858,0
901,64.0,8712,Pave,5,1957,2000,1968.0,TA,992.0,Y,GasA,1306,0
902,63.0,7875,Pave,7,2003,2003,2003.0,Gd,783.0,Y,GasA,1509,0
903,50.0,14859,Pave,7,2006,2006,2006.0,Gd,1670.0,Y,GasA,1670,144
904,69.30579531442663,6173,Pave,5,1967,1967,1967.0,TA,876.0,Y,GasA,902,0
905,80.0,9920,Pave,5,1954,1954,1954.0,TA,1056.0,Y,GasA,1063,0
906,116.0,13501,Pave,8,2006,2006,2006.0,Gd,1623.0,Y,GasA,1636,0
907,86.0,11500,Pave,7,1936,1987,1936.0,Gd,1017.0,Y,GasA,2057,0
908,69.30579531442663,8885,Pave,5,1983,1983,1983.0,Gd,864.0,Y,GasA,902,164
910,80.0,11600,Pave,5,1960,1960,1960.0,TA,1105.0,Y,GasA,2274,0
911,69.30579531442663,9286,Pave,5,1977,1989,1978.0,Gd,1268.0,Y,GasA,1268,173
912,51.0,6120,Pave,5,1925,1950,1925.0,TA,768.0,N,GasA,1015,0
913,82.0,6270,Pave,5,1949,1950,1949.0,TA,1001.0,N,GasA,2002,0
914,30.0,3000,Pave,6,2009,2009,2009.0,Gd,612.0,Y,GasA,1224,0
917,69.30579531442663,17140,Pave,4,1956,1956,1956.0,TA,1134.0,Y,GasA,1229,0
918,103.0,13125,Pave,7,1991,1991,1991.0,Ex,1104.0,Y,GasA,2127,72
919,87.0,11029,Pave,6,1958,2002,1990.0,Gd,1184.0,Y,GasA,1414,0
920,70.0,8462,Pave,6,1994,1994,1994.0,Gd,928.0,Y,GasA,1721,300
922,65.0,10237,Pave,6,2005,2006,2005.0,Gd,1316.0,Y,GasA,1316,100
923,50.0,8012,Pave,6,1993,1994,1993.0,Gd,1604.0,Y,GasA,1617,0
924,79.0,10240,Pave,6,1980,1980,1980.0,Gd,1686.0,Y,GasA,1686,384
925,69.30579531442663,15611,Pave,5,1977,1977,1977.0,Gd,1126.0,Y,GasA,1126,180
926,93.0,11999,Pave,8,2003,2004,2003.0,Gd,1181.0,Y,GasA,2374,104
927,69.30579531442663,9900,Pave,7,1968,1968,1968.0,TA,832.0,Y,GasA,1978,0
928,69.30579531442663,11838,Pave,8,2001,2001,2001.0,Gd,1753.0,Y,GasA,1788,202
929,69.30579531442663,13006,Pave,7,1997,1997,1997.0,Gd,964.0,Y,GasA,2236,0
930,73.0,8925,Pave,8,2007,2007,2007.0,Gd,1466.0,Y,GasA,1466,100
931,70.0,9100,Pave,5,1965,1965,1965.0,TA,925.0,Y,GasA,925,0
932,84.0,11670,Pave,9,2006,2006,2006.0,Ex,1905.0,Y,GasA,1905,0
933,63.0,8487,Pave,7,2004,2004,2004.0,Gd,1500.0,Y,GasA,1500,192
935,52.0,5825,Pave,4,1926,1953,1953.0,Fa,600.0,Y,GasA,747,0
936,67.0,10083,Pave,7,2003,2003,2003.0,Gd,1176.0,Y,GasA,1200,0
937,75.0,9675,Pave,7,2005,2005,2005.0,Gd,1113.0,Y,GasA,1971,0
938,73.0,8760,Pave,7,2006,2006,2006.0,Gd,1391.0,Y,GasA,1962,0
939,69.30579531442663,24090,Pave,7,1940,1950,1940.0,TA,1032.0,Y,GasA,2403,56
940,55.0,12640,Pave,6,1976,1976,1976.0,TA,1728.0,Y,GasA,1728,40
941,69.30579531442663,8755,Pave,7,1999,1999,1999.0,Gd,992.0,Y,GasA,2060,0
942,42.0,7711,Pave,4,1977,1977,1978.1134057971014,Gd,1440.0,Y,GasA,1440,321
943,100.0,25000,Pave,5,1967,1967,1967.0,TA,1632.0,Y,GasA,1632,0
944,69.30579531442663,14375,Pave,6,1958,1958,1958.0,TA,819.0,Y,GasA,1344,0
946,70.0,8163,Pave,5,1959,1959,1959.0,TA,1144.0,Y,GasA,1144,86
947,85.0,14536,Pave,8,2002,2003,2002.0,Gd,1616.0,Y,GasA,1629,0
948,65.0,14006,Pave,7,2002,2002,2002.0,Gd,936.0,Y,GasA,1776,144
949,78.0,9360,Pave,6,1972,2006,1972.0,TA,1161.0,Y,GasA,1381,0
950,60.0,7200,Pave,5,1950,2002,1980.0,TA,864.0,Y,GasA,864,194
951,60.0,7800,Pave,5,1965,1965,1979.0,TA,828.0,Y,GasA,965,421
952,60.0,7200,Pave,5,1972,2003,1974.0,Gd,768.0,Y,GasA,768,192
953,69.30579531442663,11075,Pave,5,1969,1969,1969.0,TA,784.0,Y,GasA,1968,305
954,35.0,9400,Pave,6,1975,1975,1978.1134057971014,Gd,945.0,Y,GasA,980,0
955,82.0,7136,Pave,6,1946,1950,1946.0,Gd,979.0,N,GasA,1958,0
956,24.0,1300,Pave,6,1980,1980,1980.0,Gd,561.0,Y,GasA,1229,150
957,70.0,7420,Pave,5,1962,1962,1977.0,TA,1057.0,Y,GasA,1057,0
958,65.0,8450,Pave,7,2003,2003,2003.0,Gd,1337.0,Y,GasA,1337,0
959,24.0,2572,Pave,7,1999,1999,1999.0,Gd,696.0,Y,GasA,1416,0
960,50.0,7207,Pave,5,1958,2008,1978.1134057971014,TA,858.0,Y,GasA,858,117
962,24.0,2308,Pave,6,1976,1976,1976.0,Gd,804.0,Y,GasA,1548,48
963,122.0,11923,Pave,9,2007,2007,2007.0,Ex,1800.0,Y,GasA,1800,288
964,80.0,11316,Pave,7,2002,2003,2002.0,Gd,817.0,Y,GasA,1894,0
965,65.0,10237,Pave,6,2005,2007,2005.0,Gd,783.0,Y,GasA,1484,0
966,130.0,9600,Pave,5,1940,1950,1940.0,TA,728.0,Y,GasA,1308,0
967,69.30579531442663,7390,Pave,5,1955,1955,1955.0,TA,1098.0,Y,GasA,1098,0
969,75.0,10382,Pave,6,1958,1958,1958.0,TA,588.0,Y,GasA,1095,0
970,60.0,10800,Pave,4,1949,1950,1978.1134057971014,TA,720.0,N,GasA,1192,0
971,36.0,2268,Pave,7,2003,2004,2003.0,Gd,764.0,Y,GasA,1626,0
972,55.0,7892,Pave,6,1979,1979,1979.0,Gd,918.0,Y,GasA,918,28
973,95.0,11639,Pave,7,2007,2008,2007.0,Gd,1428.0,Y,GasA,1428,0
975,69.30579531442663,2651,Pave,7,2000,2000,2000.0,Gd,673.0,Y,GasA,1382,153
976,51.0,5900,Pave,4,1923,1958,1978.1134057971014,Gd,440.0,Y,GasA,869,0
977,35.0,4274,Pave,7,2006,2007,2007.0,Gd,1241.0,Y,GasA,1241,0
978,68.0,9450,Pave,4,1954,1954,1999.0,TA,894.0,Y,GasA,894,0
979,80.0,8816,Pave,5,1963,1963,1963.0,TA,1121.0,Y,GasA,1121,0
980,69.30579531442663,12122,Pave,7,1961,2007,1961.0,TA,944.0,Y,GasA,999,144
981,98.0,12203,Pave,8,1998,1999,1998.0,Gd,1225.0,Y,GasA,2612,250
982,43.0,3182,Pave,7,2007,2007,2007.0,Gd,1266.0,Y,GasA,1266,100
983,69.30579531442663,11250,Pave,8,2002,2002,2002.0,Gd,1128.0,Y,GasA,2290,0
985,68.0,10880,Pave,5,1950,1950,1950.0,TA,1164.0,N,GasW,1164,0
986,59.0,5310,Pave,6,1910,2003,1950.0,TA,485.0,Y,GasA,1635,394
987,83.0,10159,Pave,9,2009,2010,2010.0,Ex,1930.0,Y,GasA,1940,168
988,69.30579531442663,12046,Pave,6,1976,1976,1976.0,TA,848.0,Y,GasA,2030,0
989,65.0,8125,Pave,7,2006,2006,2006.0,Gd,770.0,Y,GasA,1576,0
990,82.0,9452,Pave,8,1997,1998,1997.0,Gd,1396.0,Y,GasA,2392,0
992,80.0,9760,Pave,6,1964,1993,1964.0,TA,822.0,Y,GasA,1851,239
993,68.0,8846,Pave,6,2005,2006,2005.0,Gd,750.0,Y,GasA,1500,0
994,96.0,12456,Pave,10,2006,2007,2008.0,Ex,1700.0,Y,GasA,1718,216
995,51.0,4712,Pave,4,1946,1950,1946.0,TA,747.0,Y,GasA,1230,0
996,69.30579531442663,10659,Pave,5,1961,1961,1961.0,TA,1050.0,Y,GasA,1050,0
997,69.30579531442663,11717,Pave,6,1970,1970,1970.0,TA,1442.0,Y,GasA,1442,371
998,60.0,9786,Pave,3,1922,1950,1922.0,TA,1007.0,N,GasA,1077,0
999,64.0,6762,Pave,7,2006,2006,2006.0,Gd,1187.0,Y,GasA,1208,105
1001,60.0,5400,Pave,5,1920,1950,1920.0,Fa,691.0,Y,GasA,691,0
1002,75.0,11957,Pave,8,2006,2006,2006.0,Gd,1574.0,Y,GasA,1574,144
1003,69.30579531442663,11500,Pave,5,1976,1976,1976.0,TA,1680.0,Y,GasA,1680,0
1004,43.0,3182,Pave,7,2005,2006,2005.0,Gd,1346.0,Y,GasA,1504,156
1005,65.0,8385,Pave,5,1977,1977,1977.0,Gd,985.0,Y,GasA,985,210
1006,69.30579531442663,12155,Pave,6,1970,1970,1970.0,Gd,1657.0,Y,GasA,1657,0
1008,43.0,12118,Pave,7,2004,2005,2004.0,Ex,1710.0,Y,GasA,1710,100
1009,60.0,6000,Pave,5,1926,1950,1978.1134057971014,TA,1008.0,Y,GasA,1522,0
1010,115.0,21286,Pave,5,1948,1950,1948.0,TA,720.0,Y,GasA,1271,0
